Topic,Count,Keywords,Top_Keywords
15,30,"水利部, 洪水, 防御, 响应, 应急, 省市, 针对, 启动, 河北, 北京","[('水利部', 0.4320381290474069), ('洪水', 0.38478395868284676), ('防御', 0.3442803840846524), ('响应', 0.30377680948645797), ('应急', 0.30377680948645797), ('省市', 0.202517872990972), ('针对', 0.19576727722460624), ('启动', 0.18226608569187477), ('河北', 0.15526370262641184), ('北京', 0.14176251109368038)]"
5,13,"洪水, 暴雨, 台风, 影响, 杜苏芮, 桶装水, 极端, 浸泡, 消毒, 河南","[('洪水', 0.2914394634385838), ('暴雨', 0.21857959757893783), ('台风', 0.16393469818420336), ('影响', 0.16393469818420336), ('杜苏芮', 0.16393469818420336), ('桶装水', 0.1457197317192919), ('极端', 0.1457197317192919), ('浸泡', 0.1457197317192919), ('消毒', 0.1457197317192919), ('河南', 0.1457197317192919)]"
24,20,"停运, 厦门, 福州, 北开, 毫米, 大暴雨, 预警, 北京, 暴雨, 山区","[('停运', 0.4301904198522716), ('厦门', 0.2889338640798839), ('福州', 0.19904332858836446), ('北开', 0.19262257605325592), ('毫米', 0.18941219978570167), ('大暴雨', 0.17336031844793034), ('预警', 0.16372918964526753), ('北京', 0.15730843711015902), ('暴雨', 0.15088768457505047), ('山区', 0.14446693203994196)]"
30,20,"人员, 防汛, 停止, 及时, 预警, 措施, 转移, 非必要, 市民, 广大","[('人员', 0.2604920708295881), ('防汛', 0.20839365666367046), ('停止', 0.20067537308353453), ('及时', 0.1929570895033986), ('预警', 0.17559095144809272), ('措施', 0.16787266786795677), ('转移', 0.15629524249775287), ('非必要', 0.15243610070768487), ('市民', 0.15243610070768487), ('广大', 0.15243610070768487)]"
12,22,"北京, 暴雨, 降雨, 大暴雨, 影响, 过程, 此次, 预警, 台风, 北京市","[('北京', 0.34887754719873937), ('暴雨', 0.28636191735387856), ('降雨', 0.2581290522626511), ('大暴雨', 0.21779638784661184), ('影响', 0.2036799553009981), ('过程', 0.19964668885939418), ('此次', 0.1734304569889687), ('预警', 0.1472142251185432), ('台风', 0.1472142251185432), ('北京市', 0.1371310590145334)]"
32,31,"洪水, 预警, 橙色, 发布, 流域, 总站, 水文, 大暴雨, 北京市, 可能","[('洪水', 0.5085133809309825), ('预警', 0.4131671220064233), ('橙色', 0.29398429835072426), ('发布', 0.26220221204253785), ('流域', 0.22247460415730486), ('总站', 0.20658356100321165), ('水文', 0.20658356100321165), ('大暴雨', 0.18274699627207186), ('北京市', 0.15891043154093204), ('可能', 0.15891043154093204)]"
31,15,"人员, 停止, 防汛, 及时, 措施, 预警, 游客, 转移, 非必要, 广大","[('人员', 0.26486729717517804), ('停止', 0.21189383774014242), ('防汛', 0.18886189885534432), ('及时', 0.18655870496686452), ('措施', 0.1819523171899049), ('预警', 0.16352676608206643), ('游客', 0.16122357219358663), ('转移', 0.1589203783051068), ('非必要', 0.14740440886270778), ('广大', 0.13819163330878853)]"
8,12,"河北, 北京, 毫米, 地区, 北部, 河南, 部分, 局地, 强降雨, 南部","[('河北', 0.2716127005195959), ('北京', 0.2253150811128466), ('毫米', 0.22222857315239664), ('地区', 0.19445000150834707), ('北部', 0.1913634935478971), ('河南', 0.16975793782474743), ('部分', 0.16975793782474743), ('局地', 0.16667142986429748), ('强降雨', 0.16358492190384752), ('南部', 0.1604984139433976)]"
9,31,"强降雨, 灾害, 次生, 山体, 滑坡, 洪水, 泥石流, 天气, 暴雨, 导致","[('强降雨', 0.4909916229871993), ('灾害', 0.3927932983897594), ('次生', 0.31914455494167954), ('山体', 0.20867143976955968), ('滑坡', 0.20867143976955968), ('洪水', 0.19025925390753973), ('泥石流', 0.18412185862019972), ('天气', 0.18412185862019972), ('暴雨', 0.16570967275817974), ('导致', 0.15957227747083977)]"
18,22,"出现, 大暴雨, 暴雨, 夜间, 预警, 发布, 洪水, 注意, 山区, 积水","[('出现', 0.4591791294485935), ('大暴雨', 0.2755074776691561), ('暴雨', 0.2755074776691561), ('夜间', 0.2337639204465567), ('预警', 0.20036907466847717), ('发布', 0.1920203632239573), ('洪水', 0.1836716517794374), ('注意', 0.15862551744587775), ('山区', 0.15027680600135787), ('积水', 0.15027680600135787)]"
