Topic,Count,Keywords,Top_Keywords
12,30,"水利部, 洪水, 防御, 响应, 应急, 省市, 针对, 启动, 河北, 北京","[('水利部', 0.4320381290474069), ('洪水', 0.38478395868284676), ('防御', 0.3442803840846524), ('响应', 0.30377680948645797), ('应急', 0.30377680948645797), ('省市', 0.202517872990972), ('针对', 0.19576727722460624), ('启动', 0.18226608569187477), ('河北', 0.15526370262641184), ('北京', 0.14176251109368038)]"
10,12,"洪水, 暴雨, 游玩, 河南, 环流, 杜苏芮, 伤口处, 具有, 极端, 桶装水","[('洪水', 0.2942847571110839), ('暴雨', 0.22071356783331292), ('游玩', 0.14714237855554194), ('河南', 0.14714237855554194), ('环流', 0.14714237855554194), ('杜苏芮', 0.14714237855554194), ('伤口处', 0.14714237855554194), ('具有', 0.14714237855554194), ('极端', 0.14714237855554194), ('桶装水', 0.14714237855554194)]"
20,35,"停运, 毫米, 预警, 公交, 场站, 红色, 厦门, 山区, 暴雨, 北京","[('停运', 0.26938224458994403), ('毫米', 0.21510373262032845), ('预警', 0.20304184107152498), ('公交', 0.19701089529712326), ('场站', 0.19299026478085543), ('红色', 0.1849490037483198), ('厦门', 0.18092837323205196), ('山区', 0.1688664816832485), ('暴雨', 0.1688664816832485), ('北京', 0.16082522065071286)]"
22,19,"人员, 防汛, 停止, 及时, 预警, 措施, 转移, 游客, 非必要, 市民","[('人员', 0.2633792475534687), ('防汛', 0.2044137443698563), ('停止', 0.2044137443698563), ('及时', 0.1926206437331338), ('预警', 0.17099995923247593), ('措施', 0.16903444245968888), ('转移', 0.15920685859575345), ('游客', 0.15331030827739223), ('非必要', 0.14937927473181806), ('市民', 0.14937927473181806)]"
15,23,"北京, 暴雨, 降雨, 大暴雨, 影响, 过程, 此次, 预警, 台风, 北京市","[('北京', 0.3579713634363418), ('暴雨', 0.2839772827260365), ('降雨', 0.25597952245727235), ('大暴雨', 0.21598272207332356), ('影响', 0.20198384193894148), ('过程', 0.19798416190054657), ('此次', 0.1739860816701773), ('预警', 0.14598832140141313), ('台风', 0.14598832140141313), ('北京市', 0.13998880134382083)]"
31,31,"洪水, 预警, 橙色, 发布, 流域, 水文, 大暴雨, 总站, 出现, 可能","[('洪水', 0.4974994008551874), ('预警', 0.4159421220264682), ('橙色', 0.3017619316662612), ('发布', 0.25282756436902964), ('流域', 0.2365161086032858), ('水文', 0.1957374691889262), ('大暴雨', 0.1957374691889262), ('总站', 0.1957374691889262), ('出现', 0.15495882977456657), ('可能', 0.14680310189169465)]"
35,23,"洪水, 北京, 预警, 蓝色, 发布, 房山, 已经, 现在, 橙色, 暴雨","[('洪水', 0.5572782125753528), ('北京', 0.5572782125753528), ('预警', 0.4179586594315146), ('蓝色', 0.16718346377260584), ('发布', 0.1393195531438382), ('房山', 0.08359173188630292), ('已经', 0.08359173188630292), ('现在', 0.08359173188630292), ('橙色', 0.08359173188630292), ('暴雨', 0.08359173188630292)]"
4,28,"大暴雨, 出现, 暴雨, 北京, 西部, 南部, 夜间, 山区, 洪水, 防范","[('大暴雨', 0.4205836920307019), ('出现', 0.3958434748524253), ('暴雨', 0.296882606139319), ('北京', 0.2144152155450637), ('西部', 0.2144152155450637), ('南部', 0.20204510695592542), ('夜间', 0.19792173742621266), ('山区', 0.19792173742621266), ('洪水', 0.12370108589138291), ('防范', 0.11545434683195738)]"
14,12,"河北, 北京, 毫米, 地区, 北部, 河南, 部分, 局地, 强降雨, 南部","[('河北', 0.2716127005195959), ('北京', 0.2253150811128466), ('毫米', 0.22222857315239664), ('地区', 0.19445000150834707), ('北部', 0.1913634935478971), ('河南', 0.16975793782474743), ('部分', 0.16975793782474743), ('局地', 0.16667142986429748), ('强降雨', 0.16358492190384752), ('南部', 0.1604984139433976)]"
7,31,"强降雨, 灾害, 次生, 山体, 滑坡, 洪水, 泥石流, 天气, 暴雨, 导致","[('强降雨', 0.4909916229871993), ('灾害', 0.3927932983897594), ('次生', 0.31914455494167954), ('山体', 0.20867143976955968), ('滑坡', 0.20867143976955968), ('洪水', 0.19025925390753973), ('泥石流', 0.18412185862019972), ('天气', 0.18412185862019972), ('暴雨', 0.16570967275817974), ('导致', 0.15957227747083977)]"
